procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4457872  89196 1645896    0    0   428    25  294  647 11  4 85  0  0
 0  0      0 4440980  89204 1652152    0    0     0   420  560 1361  5  1 93  0  0
 0  0      0 4434524  89204 1646980    0    0     0     0  293  771  2  1 97  0  0
 1  0      0 4424348  89204 1646824    0    0     0     0  199  450  2  0 98  0  0
 0  0      0 4415528  89204 1645240    0    0     0     0  282  563  2  0 98  0  0
 0  0      0 4517344  89204 1645100    0    0     0     0  245  509  2  0 98  0  0
 0  0      0 4504776  89212 1658056    0    0     0    48 4297 9333 36 16 48  0  0
 9  0      0 4503908  89220 1658612    0    0     0    36 2240 3364 17  6 77  0  0
 2  0      0 4496176  89220 1667436    0    0     0     0 1284 2038 10  3 87  0  0
 0  0      0 4501216  89220 1661056    0    0     0     0 1303 2848  8  3 90  0  0
 5  0      0 4498128  89220 1664464    0    0     0     0 2189 6374 24  9 67  0  0
 4  0      0 4502152  89228 1660004    0    0     0    28 2374 7322 29 11 60  0  0
 0  0      0 4502684  89228 1660112    0    0     0     0 1729 4154 17  5 78  0  0
 0  0      0 4504712  89228 1660148    0    0     0     0 1440 2290 17  3 80  0  0
 3  0      0 4508736  89228 1657224    0    0     0     0 1276 1729  8  3 89  0  0
 4  0      0 4491608  89228 1674800    0    0     0     0 1884 3304 20  8 72  0  0
 0  0      0 4497532  89228 1667204    0    0     0     0 4608 8062 34 13 54  0  0
 0  0      0 4476004  89236 1688524    0    0     0    24 1709 2872 18  5 77  0  0
 3  0      0 4477684  89236 1687012    0    0     0     0 2861 5112 20  7 72  0  0
 0  0      0 4497984  89236 1665520    0    0     0     0 3253 5319 24 11 64  0  0
 0  0      0 4506312  89236 1656852    0    0     0     0  918 1637  6  3 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 4506804  89236 1656608    0    0     0     0 1529 3335 14  6 80  0  0
 0  0      0 4510920  89244 1652320    0    0     0   700 2013 3886 14  6 79  0  0
 0  0      0 4511088  89244 1652224    0    0     0     0  955 1179  5  2 93  0  0
 2  0      0 4505292  89244 1658128    0    0     0     0 2129 3869 15  6 78  0  0
 2  0      0 4504284  89252 1661180    0    0     0   268 1538 2790 11  5 84  0  0
 1  0      0 4507812  89252 1656272    0    0     0     0 4425 8030 34 14 52  0  0
 7  0      0 4495304  89260 1668300    0    0     0    28 2072 3733 18  4 77  0  0
